TitleId,CompMain,CompExtra,Comp100
1397032914,7,8,12
1414793324,22,29,42
1397033047,9,14,33
1096157311,7,11,17
1480657467,0,0,20
1178929118,0,0,12
1481968460,0,0,0
1480657019,0,0,0
1161889998,25,36,50
1481968586,0,0,0
1196427221,10,12,13
1431504890,8,9,11
1161889894,12,15,16
1297287173,11,14,27
1397032979,12,15,42
1396901863,18,35,86
1128466413,10,15,26
1096157474,0,3,0
1480657350,18,25,35
1096157467,3,5,10
1161889857,0,0,0
1297287126,1,0,64
1096157269,2,4,9
1297287791,0,0,0
1397032917,6,0,0
1481968302,0,0,0
1481968560,15,30,57
1481968234,2,3,4
1480659587,0,0,1
1480657096,0,0,28
1297287142,8,11,23
1096157412,16,19,24
1414793259,18,26,46
1161890020,17,19,30
1480657726,0,0,0
1480657142,5,8,11
1161889999,8,9,17
1480660056,0,0,5
1414596748,0,0,0
1263470560,15,47,135
1480659542,14,20,40
1480659578,10,12,18
1480656918,0,2,0
1128466498,10,13,24
1263405065,19,26,46
1263405090,8,8,11
1431505098,18,31,47
1414596747,3,3,4
1414793176,12,16,23
1297287125,9,12,30
1480659506,6,6,16
1448544214,7,10,26
1263470590,13,35,64
1128466497,16,19,31
1481968090,6,7,7
1263405114,1,2,30
1263339486,5,8,14
1480656871,5,5,9
1297287131,5,15,39
1161889845,5,0,0
1161890021,6,0,22
1128466447,2,9,39
1161890069,5,12,39
1480657194,4,4,5
1480657116,0,0,0
1481968523,8,10,12
1096157445,7,12,24
1480656966,4,6,8
1263470552,31,51,95
1480657564,4,0,0
1096157453,4,6,8
1480659593,9,13,18
1397819363,14,23,48
1481967894,0,6,0
1480659601,1,0,0
1414596678,4,5,9
1161890243,78,144,210
1480657343,33,40,80
1480657246,7,9,0
1481968442,0,0,0
1480656958,7,0,20
1480659424,2,3,0
1313671229,3,18,120
1112934403,10,12,15
1380714454,9,11,14
1481968081,0,0,0
1480657278,9,18,31
1297287134,13,21,45
1161890037,3,7,13
1480657361,4,4,7
1480657553,7,9,12
1096157393,4,6,6
1480659586,1,10,20
1128466416,0,0,0
1397033002,8,12,24
1396901868,10,12,19
1096157188,0,0,10
1480657102,5,6,8
1481968044,55,100,160
1480657302,1,6,0
1480657727,15,30,57
1431504886,15,22,29
1481968071,1,2,2
1313671226,42,60,105
1296697309,0,0,0
1414793305,28,35,44
1480657764,6,0,0
1396901851,12,16,20
1161889904,40,50,0
1414793228,5,0,0
1414793191,22,35,63
1263405062,5,7,0
1481115668,0,0,0
1481968534,15,22,34
1480659577,0,0,23
827983826,13,33,86
1480657569,2,0,0
1480659662,4,7,14
1481968057,0,0,0
1128466412,14,18,52
1480656903,4,7,17
1480657530,8,10,13
1213532116,2,5,0
1463158747,6,7,8
1096157328,4,0,0
1480659432,16,22,37
1515194321,0,0,0
1297287425,10,0,70
1480659635,0,0,0
1263339499,11,12,0
1397819409,15,22,34
1161890241,16,90,495
1112934430,14,21,29
1297287245,36,66,187
