TitleId,CompMain,CompExtra,Comp100
1414594572,6,0,0
1414791293,3,0,5
1414791186,5,0,7
1414791306,5,6,7
1431502923,6,7,7
1145241604,8,11,0
1129119760,5,5,13
1129119787,7,19,50
1129119745,9,10,12
1414791313,0,0,1
1414791343,12,36,0
1397751809,5,0,0
1196818435,2,2,3
1163067400,20,32,32
1396900089,9,10,11
1414332424,8,14,15
1396899846,7,9,24
1414791173,7,8,19
1396899852,12,0,34
1396899850,10,10,0
1297285201,11,12,12
1396899855,7,8,8
1414332427,5,13,14
1213202434,7,10,11
1297285174,0,0,0
1448411139,8,9,16
1163067412,5,10,20
1448411167,6,7,11
1448411201,8,11,11
1448411190,5,6,6
1397030916,3,8,8
1263403036,9,14,0
1263468546,11,0,0
1297285153,8,12,24
1431502880,2,0,0
1179385858,23,30,37
1431502911,4,5,5
1313669145,3,5,5
1464139781,12,17,29
1481637889,0,0,0
1128988673,0,0,0
1263403041,0,0,40
1263403049,0,9,0
1263403063,0,0,0
1111621634,0,0,0
1263403037,0,0,0
1448476688,5,0,0
1414594564,5,5,5
1128464406,6,9,12
1431502940,6,9,12
1379991555,2,0,3
1413677057,3,5,17
1413677062,4,5,12
1161887788,8,10,14
1431502852,0,16,0
1161887817,6,9,13
1297547270,4,0,12
1296302083,0,0,0
1414594598,10,11,18
1414594822,12,14,21
1163067397,9,14,19
1448476713,9,11,0
1111556097,1,5,12
1111556098,23,38,53
1128464387,7,9,0
1297285225,0,0,0
1414332431,5,0,0
1096155175,7,25,27
1096155168,11,13,17
1297547281,13,0,15
1448411176,3,3,6
1229389946,8,10,12
1431502866,4,5,6
1296695307,4,7,0
1213661185,0,0,0
1229389880,10,12,14
1229389951,9,15,29
1229389843,9,17,29
1263468547,6,25,75
1263468548,9,37,137
1263468551,27,61,109
1297547314,3,5,6
1262616578,1,0,0
1112735745,44,105,319
1448411150,8,12,16
1229389858,7,9,13
1448411203,7,10,11
1397030963,0,0,95
1263403019,1,2,0
1397030952,0,0,200
1263403013,1,0,0
1397030961,0,0,150
1263403014,0,0,0
1397030947,0,45,150
1397030960,9,75,235
1263403011,0,0,0
1397030962,5,0,0
1397030950,0,0,0
1263403017,0,0,0
1414594597,6,6,7
1263206403,0,0,0
1161887751,5,0,0
1161887764,7,0,0
1161887794,0,0,0
1297285133,12,20,34
1297285329,15,21,38
NaN,8,9,10
1414594592,5,6,6
1229979656,10,13,16
1414791344,6,7,7
1096155162,6,8,10
1431502856,12,16,22
1431502944,7,0,0
1161887803,18,63,0
1161887864,27,40,66
1161887910,50,117,274
1161887767,10,23,0
1161887822,42,45,100
1161887858,6,11,21
1161887877,19,21,30
1161887755,2,0,0
1448411183,1,6,9
1161887819,6,0,0
1161887829,12,14,0
1414594569,0,0,0
1128464403,8,9,11
1414594590,3,3,3
1162674185,7,9,10
1162674208,13,16,22
1095827458,0,0,0
1162674207,7,10,0
1414791287,0,0,0
1162674183,3,11,13
1162674189,5,6,9
1414791305,0,7,0
1229389940,7,8,9
1297285230,62,69,70
1297547271,0,0,14
1161887790,8,9,12
1297547287,0,0,0
1067633715,5,6,0
1263403027,7,0,0
1263403052,8,20,0
1414594594,10,11,0
1414594808,15,0,0
1229389835,3,0,0
1179189250,7,8,12
1129709575,0,0,0
1297285122,4,15,0
1112670209,0,0,0
1096024068,10,11,13
1297547278,14,20,20
1297547298,5,0,9
1414332433,6,9,11
1128464385,6,6,8
1162674180,14,16,23
1094909978,9,10,0
1279328264,32,64,191
1245773829,8,0,0
1229389881,1,2,3
1229389939,2,7,18
1161887837,8,9,12
1414791294,0,0,0
1297285203,6,7,12
NaN,0,0,0
1414791182,15,21,38
1414791183,18,25,40
1297547277,0,0,0
